variable,description,variable type,nmissing,min,max,task
interaction_data,jsPsych focus/blur interaction log for the sitting (browser focus events).,"Union{Missing, String}",47038,[],"[{""event"":""blur"",""time"":8508,""trial"":163},{""event"":""focus"",""time"":57625,""trial"":2857}]",admin
jspsych_data,Full embedded copy of the sitting's jsPsych data (backup payload row).,"Union{Missing, String}",47038,"[{""trial_type"":""call-function"",""trial_index"":0,""plugin_version"":""2.0.0"",""time_elapsed"":1,""participant_id"":""REL-TST-007"",…","[{""trial_type"":""call-function"",""trial_index"":0,""plugin_version"":""2.0.0"",""time_elapsed"":8,""participant_id"":""REL-TST-879"",…",admin
module_start_time,Timestamp when the current module started.,"Union{Missing, String}",67,2025-04-07_13:02:29,2025-06-04_15:14:21,admin
n_instruction_fail,Cumulative number of failed instruction-quiz attempts during the sitting.,"Union{Missing, Int64}",10404,0,0,admin
n_warnings,Cumulative number of missed-response warnings during the sitting.,"Union{Missing, Int64}",67,0,29,admin
participant_id,RELMED participant id.,"Union{Missing, String}",67,DELOSIS-001,REL-TST-997,admin
pause_resume_events,Log of pause/resume events during the sitting.,"Union{Missing, String}",46946,"[{""time"":0,""event"":""resume""}]","[{""time"":9563,""event"":""pause""},{""time"":14498,""event"":""resume""}]",admin
plugin_version,Version of the jsPsych plugin used on the trial.,"Union{Missing, String}",67,0.1,2.0.1,admin
pre_kick_out_warned,Whether the participant received a gentle warning about responding too slowly.,"Union{Missing, Bool}",67,FALSE,TRUE,admin
record_id,"REDCap record id for the sitting (participant_id + '_' + module_start_time). Derived from the file, not stored per trial.","Union{Missing, String}",67,DELOSIS-001_2025-04-07_16:51:01,REL-TST-997_2025-05-15_10:57:47,admin
restart,Flag indicating the task was restarted/resumed.,"Union{Missing, Bool}",47104,TRUE,TRUE,admin
session,"Session name (screening, wk0, wk2, wk4, wk6, wk8, wk24, wk28, wk52).","Union{Missing, String}",67,screening,wk8,admin
task,"Module name run in this sitting (screening, pilt-to-test, reversal, control, wm, quests).","Union{Missing, String}",67,control,wm,admin
time_elapsed,Milliseconds elapsed since the start of the sitting.,"Union{Missing, Int64}",67,0,85525612,admin
trial_index,Index of the current trial within the sitting (jsPsych).,"Union{Missing, Int64}",67,0,3163,admin
trial_type,jsPsych plugin used on this trial.,"Union{Missing, String}",67,PILT,survey-text,admin
version,Version of the task code being run.,"Union{Missing, String}",67,0.3,1.0.3,admin
response,"Participant's response (key, rating, or questionnaire object depending on trial).","Union{Missing, String}",7878,2,"{""wm_difficulty"":4,""wm_enjoy"":4,""wm_clear"":2}",general
rt,Response time for the trial (ms).,"Union{Missing, Float64}",4742,0,3558199,general
timeline_variables,Saved jsPsych timeline variables (nested object; sub-fields listed as tv:* rows).,"Union{Missing, String}",40211,"{""left"":""blue"",""right"":""green"",""near"":""banana"",""current"":1}","{""target"":""orange"",""near"":""grape"",""left"":""red"",""right"":""green"",""current"":2,""island_viable"":true,""left_viable"":false,""rig…",general
trialphase,Short label identifying the trial phase.,"Union{Missing, String}",3110,BADS,wm_test,general
failed_audio,List of audio files that failed to download.,"Union{Missing, String}",45625,[],[],preload
failed_images,List of image files that failed to download.,"Union{Missing, String}",45625,[],[],preload
failed_video,List of video files that failed to download.,"Union{Missing, String}",45625,[],[],preload
success,Whether task assets loaded successfully.,"Union{Missing, Bool}",45625,FALSE,TRUE,preload
timeout,Whether preloading assets timed out.,"Union{Missing, Bool}",45485,FALSE,FALSE,preload
view_history,"Instruction pages viewed, with viewing times (jsPsych instructions).","Union{Missing, String}",45058,"[{""page_index"":0,""viewing_time"":0}]","[{""page_index"":0,""viewing_time"":9}]",instructions
pilt_n_warnings,Missed-response warnings during the PILT task.,"Union{Missing, Int64}",38169,0,3,PILT
pilt_test_n_warnings,Missed-response warnings during the PILT test phase.,"Union{Missing, Int64}",33935,0,3,PILT
chosen_stimulus,The chosen image.,"Union{Missing, String}",31213,imgs/PILT_stims/abacus_1.jpg,imgs/Pav_stims/wk4/PIT6.png,PILT/WM
EV_left,Expected value of the left option.,"Union{Missing, Float64}",45065,-1,1,PILT/WM
EV_right,Expected value of the right option.,"Union{Missing, Float64}",45065,-1,1,PILT/WM
feedback_middle,Outcome associated with the middle image (3-stimulus trials).,"Union{Missing, Float64}",44028,0.01,1,PILT/WM
key,Key pressed (arrow key).,"Union{Missing, String}",31213,arrowleft,arrowup,PILT/WM
keyPressOnset,Timestamp of the key press.,"Union{Missing, Float64}",31078,4103.100000023842,3159346,PILT/WM
magnitude_left,Reward magnitude of the left stimulus in the PILT/WM/LTM test phase.,"Union{Missing, Float64}",44021,-1,1,PILT/WM
magnitude_right,Reward magnitude of the right stimulus in the PILT/WM/LTM test phase.,"Union{Missing, Float64}",44021,-1,1,PILT/WM
n_groups,Number of concurrent stimulus groups in the block.,"Union{Missing, Int64}",36202,1,14,PILT/WM
n_stimuli,Number of stimuli presented on the trial.,"Union{Missing, Int64}",31078,1,3,PILT/WM
optimal_side,Which side held the optimal stimulus (3-stimulus trials).,"Union{Missing, String}",44028,left,right,PILT/WM
original_block_left,Source block of the left stimulus (re-presented pairs).,"Union{Missing, Int64}",41981,1,20,PILT/WM
original_block_right,Source block of the right stimulus (re-presented pairs).,"Union{Missing, Int64}",41981,1,20,PILT/WM
pavlovian_stimulus,Pavlovian stimulus shown with the outcome.,"Union{Missing, String}",31213,,Pav_stims/wk4/PIT6.png,PILT/WM
response_deadline_warning,Whether a late-response warning was shown on the trial.,"Union{Missing, Bool}",30749,FALSE,TRUE,PILT/WM
rest,"Coins still winnable/losable in the block, as {denomination: count} (negative denominations = punishment).","Union{Missing, String}",41676,"{""-0.01"":1,""0.01"":1}",{},PILT/WM
rest_1penny,Number of 1-penny coins still available in the block.,"Union{Missing, Int64}",41631,0,30,PILT/WM
rest_1pound,Number of 1-pound coins still available in the block.,"Union{Missing, Int64}",41631,0,89,PILT/WM
rest_50pence,Number of 50-pence coins still available in the block.,"Union{Missing, Int64}",41631,0,21,PILT/WM
same_block,Whether both stimuli originate from the same block.,"Union{Missing, Bool}",41981,FALSE,TRUE,PILT/WM
same_valence,Whether both stimuli share the same valence.,"Union{Missing, Bool}",41981,FALSE,TRUE,PILT/WM
stimulus_group,Stimulus-group index within the block.,"Union{Missing, Int64}",36202,1,14,PILT/WM
stimulus_group_id,Stimulus-group index across blocks.,"Union{Missing, Int64}",36202,1,20,PILT/WM
stimulus_left,Image shown on the left.,"Union{Missing, String}",31078,imgs/PILT_stims/abacus_1.jpg,imgs/Pav_stims/wk4/PIT6.png,PILT/WM
stimulus_middle,Image shown in the middle (3-stimulus / WM trials).,"Union{Missing, String}",44028,imgs/PILT_stims/abacus_1.jpg,imgs/PILT_stims/yolk_1.jpg,PILT/WM
stimulus_right,Image shown on the right.,"Union{Missing, String}",31078,imgs/PILT_stims/abacus_1.jpg,imgs/Pav_stims/wk4/PIT6.png,PILT/WM
valence,Valence of the block (reward vs punishment).,"Union{Missing, Int64}",36202,-1,1,PILT/WM
block,Block number/label.,"Union{Missing, Any}",20658,,,PILT/WM/reversal
chosen_feedback,Outcome associated with the chosen image.,"Union{Missing, Float64}",20658,-1,1,PILT/WM/reversal
feedback_left,Outcome associated with the left image.,"Union{Missing, Float64}",20658,-1,1,PILT/WM/reversal
feedback_right,Outcome associated with the right image.,"Union{Missing, Float64}",20658,-1,1,PILT/WM/reversal
optimal_right,Whether the right image is optimal (1/0).,"Union{Missing, Int64}",23735,0,1,PILT/WM/reversal
response_optimal,Whether the optimal option was chosen.,"Union{Missing, Bool}",20658,FALSE,TRUE,PILT/WM/reversal
trial,Trial number within the block/task.,"Union{Missing, Int64}",20658,0,240,PILT/WM/reversal
wm_n_warnings,Missed-response warnings during the WM task.,"Union{Missing, Int64}",39940,0,3,WM
wm_test_n_warnings,Missed-response warnings during the WM test phase.,"Union{Missing, Int64}",39999,0,3,WM
ltm_n_warnings,Missed-response warnings during the LTM task.,"Union{Missing, Int64}",43533,0,2,LTM
ltm_test_n_warnings,Missed-response warnings during the LTM test phase.,"Union{Missing, Int64}",43533,0,3,LTM
reversal_n_warnings,Missed-response warnings during the reversal task.,"Union{Missing, Int64}",15540,0,0,reversal
chosen_magnitude,Reward magnitude of the piggy-bank chosen in the post-vigour test.,"Union{Missing, Int64}",46853,1,5,vigour
chosen_ratio,Fixed-ratio of the piggy-bank chosen in the post-vigour test.,"Union{Missing, Int64}",46853,1,16,vigour
left_magnitude,Reward magnitude of the left piggy-bank in the post-vigour test.,"Union{Missing, Int64}",46853,1,5,vigour
left_ratio,Fixed-ratio of the left piggy-bank in the post-vigour test.,"Union{Missing, Int64}",46853,1,16,vigour
